dns_rcode_error_ratio,dns_rcode_nxdomain_ratio,dns_rcode_noauth_ratio,dns_rcode_refused_ratio,dns_rcode_notzone_ratio,return_code_key,base_key
0.0,0.0,0.0,0.0,0.0,1651,1
0.0,0.0,0.0,0.0,0.0,7124,2
0.0,0.0,0.0,0.0,0.0,17517,3
0.0,0.0,0.0,0.0,0.0,19895,4
0.0,0.0,0.0,0.0,0.0,1720,5
0.0,0.0,0.0,0.0,0.0,6701,6
0.0,0.0,0.0,0.0,0.0,20081,7
0.0,0.0,0.0,0.0,0.0,14115,8
0.0,0.0,0.0,0.0,0.0,4830,9
0.0,0.0,0.0,0.0,0.0,5589,10
0.0,0.0,0.0,0.0,0.0,867,11
0.0,0.0,0.0,0.0,0.0,12598,12
0.0,0.0,0.0,0.0,0.0,48,13
0.0,0.0,0.0,0.0,0.0,4387,14
0.0,0.0,0.0,0.0,0.0,18122,15
0.0,0.0,0.0,0.0,0.0,15073,16
0.0,0.0,0.0,0.0,0.0,10207,17
0.0,0.0,0.0,0.0,0.0,9033,18
0.0,0.0,0.0,0.0,0.0,11999,19
0.0,0.0,0.0,0.0,0.0,3652,20
0.0,0.0,0.0,0.0,0.0,4948,21
0.0,0.0,0.0,0.0,0.0,5483,22
0.0,0.0,0.0,0.0,0.0,18494,23
0.0,0.0,0.0,0.0,0.0,17640,24
0.0,0.0,0.0,0.0,0.0,3478,25
0.0,0.0,0.0,0.0,0.0,1077,26
0.0,0.0,0.0,0.0,0.0,12141,27
0.0,0.0,0.0,0.0,0.0,14286,28
0.0,0.0,0.0,0.0,0.0,13885,29
0.0,0.0,0.0,0.0,0.0,7333,30
0.0,0.0,0.0,0.0,0.0,20220,31
0.0,0.0,0.0,0.0,0.0,5852,32
0.0,0.0,0.0,0.0,0.0,8739,33
0.0,0.0,0.0,0.0,0.0,19265,34
0.0,0.0,0.0,0.0,0.0,18055,35
0.0,0.0,0.0,0.0,0.0,9449,36
0.0,0.0,0.0,0.0,0.0,6283,37
0.0,0.0,0.0,0.0,0.0,1524,38
0.0,0.0,0.0,0.0,0.0,20217,39
0.0,0.0,0.0,0.0,0.0,4467,40
0.0,0.0,0.0,0.0,0.0,18054,41
0.0,0.0,0.0,0.0,0.0,15587,42
0.0,0.0,0.0,0.0,0.0,16589,43
0.0,0.0,0.0,0.0,0.0,7633,44
0.0,0.0,0.0,0.0,0.0,8149,45
0.0,0.0,0.0,0.0,0.0,6634,46
0.0,0.0,0.0,0.0,0.0,1464,47
0.0,0.0,0.0,0.0,0.0,18420,48
0.0,0.0,0.0,0.0,0.0,18105,49
0.0,0.0,0.0,0.0,0.0,411,50
0.0,0.0,0.0,0.0,0.0,16433,51
0.0,0.0,0.0,0.0,0.0,14174,52
0.0,0.0,0.0,0.0,0.0,8595,53
0.0,0.0,0.0,0.0,0.0,13844,54
0.0,0.0,0.0,0.0,0.0,17598,55
0.0,0.0,0.0,0.0,0.0,7111,56
0.0,0.0,0.0,0.0,0.0,9184,57
0.0,0.0,0.0,0.0,0.0,16406,58
0.0,0.0,0.0,0.0,0.0,15715,59
0.0,0.0,0.0,0.0,0.0,13838,60
0.0,0.0,0.0,0.0,0.0,14902,61
0.0,0.0,0.0,0.0,0.0,8455,62
0.0,0.0,0.0,0.0,0.0,12337,63
0.0,0.0,0.0,0.0,0.0,12655,64
0.0,0.0,0.0,0.0,0.0,17854,65
0.0,0.0,0.0,0.0,0.0,11239,66
0.0,0.0,0.0,0.0,0.0,18057,67
0.0,0.0,0.0,0.0,0.0,7856,68
0.0,0.0,0.0,0.0,0.0,12874,69
0.0,0.0,0.0,0.0,0.0,4810,70
0.0,0.0,0.0,0.0,0.0,14498,71
0.0,0.0,0.0,0.0,0.0,8062,72
0.0,0.0,0.0,0.0,0.0,5573,73
0.0,0.0,0.0,0.0,0.0,10278,74
0.0,0.0,0.0,0.0,0.0,18601,75
0.0,0.0,0.0,0.0,0.0,105,76
0.0,0.0,0.0,0.0,0.0,9483,77
0.0,0.0,0.0,0.0,0.0,7753,78
0.0,0.0,0.0,0.0,0.0,11095,79
0.0,0.0,0.0,0.0,0.0,3427,80
0.0,0.0,0.0,0.0,0.0,19610,81
0.0,0.0,0.0,0.0,0.0,12206,82
0.0,0.0,0.0,0.0,0.0,11967,83
0.0,0.0,0.0,0.0,0.0,6315,84
0.0,0.0,0.0,0.0,0.0,13179,85
0.0,0.0,0.0,0.0,0.0,12863,86
0.0,0.0,0.0,0.0,0.0,8421,87
0.0,0.0,0.0,0.0,0.0,12783,88
0.0,0.0,0.0,0.0,0.0,13707,89
0.0,0.0,0.0,0.0,0.0,14804,90
0.0,0.0,0.0,0.0,0.0,8870,91
0.0,0.0,0.0,0.0,0.0,16086,92
0.0,0.0,0.0,0.0,0.0,9943,93
0.0,0.0,0.0,0.0,0.0,12898,94
0.0,0.0,0.0,0.0,0.0,2473,95
0.0,0.0,0.0,0.0,0.0,10930,96
0.0,0.0,0.0,0.0,0.0,13211,97
0.0,0.0,0.0,0.0,0.0,16068,98
0.0,0.0,0.0,0.0,0.0,3190,99
0.0,0.0,0.0,0.0,0.0,17683,100
0.0,0.0,0.0,0.0,0.0,13628,101
0.0,0.0,0.0,0.0,0.0,9934,102
0.0,0.0,0.0,0.0,0.0,17146,103
0.0,0.0,0.0,0.0,0.0,3400,104
0.0,0.0,0.0,0.0,0.0,17229,105
0.0,0.0,0.0,0.0,0.0,1153,106
0.0,0.0,0.0,0.0,0.0,19298,107
0.0,0.0,0.0,0.0,0.0,11443,108
0.0,0.0,0.0,0.0,0.0,5247,109
0.0,0.0,0.0,0.0,0.0,1072,110
