response_status_key,http_response_body_len_ratio
12788,0
19571,0
7022,0
4088,0
596,0
16435,0
14859,857.75
7677,857.75
6704,857.75
14250,857.75
19727,0
5432,0
15091,0
18102,0
17730,0
18298,13
13867,13
14409,13
1620,13
3411,13
9976,1217.555556
4477,1217.555556
8807,1095.8
15976,1095.8
10464,1217.555556
4749,0
7560,0
15462,0
15954,0
3950,0
9670,0
4995,0
14555,0
16677,33856
16243,67712
16262,0
14629,0
7885,0
5158,0
11560,0
6557,0
12727,0
12645,0
2052,0
4371,16876
10437,16788
16592,0
383,0
14214,0
6631,0
16905,0
10180,0
16399,0
15731,0
10764,0
11622,0
14453,0
6616,0
12221,0
9052,22
12502,7.333333333
61,0
9607,8118.7
5482,8118.7
11739,8118.7
2324,4925.294118
4141,4611.5
4165,369.6666667
3022,461.8235294
13880,461.8235294
10487,461.8235294
2171,527.9574468
12415,534
15214,534
7228,582.75
16933,582.75
18996,577.4285714
11026,471
15884,471
18789,471
10218,471
15531,0
1201,0
10,0
5522,0
15440,0
9082,0
3855,0
16653,0
18079,0
14534,0
7876,0
9420,0
20102,0
2847,0
7127,417.7
4453,599.25
213,599.25
3632,599.25
11375,599.25
657,1507
15201,0
17047,0
381,0
199,0
10492,0
1113,490
10064,798.8571429
3608,887.375
3599,950.2222222
19253,950.2222222
5248,1525.5
14516,1480
17440,1453
1339,0
1432,0
14332,0
15790,471
8303,398.5384615
11580,403.7142857
17721,403.7142857
14542,403.7142857
7436,385.3636364
2661,471
15217,0
16164,0
4909,0
861,0
2350,0
1421,0
9715,0
13047,0
19448,0
5953,0
12115,0
16736,0
14942,0
4916,1507
14591,1507
12023,1507
4864,1507
12089,816.3333333
11714,383.5555556
12158,490.1538462
450,490.1538462
20227,441.7692308
5847,538.8333333
12639,104.3333333
2887,62.6
12252,62.6
12154,0
6076,0
19006,0
11284,0
5425,471
16601,471
16172,502.2727273
19197,497.4615385
11293,462.5333333
17282,462.5333333
6829,431.1333333
2731,431.1333333
7516,282.6
2691,157
9671,157
14120,235.5
17055,235.5
810,0
196,0
362,471
4993,471
15408,471
14963,471
478,471
6877,432.8571429
7336,432.8571429
7682,432.8571429
296,432.8571429
17910,432.8571429
13437,426.5
6863,0
1490,0
10082,0
11828,0
8869,0
7156,0
17445,0
14781,0
