smtp_in_mean_hops,in_out_key,base_key
0.0,4903,1
0.0,12307,2
0.0,1224,3
0.0,6674,4
0.0,20033,5
0.0,6960,6
0.0,476,7
0.0,19508,8
0.0,20121,9
0.0,6876,10
0.0,11457,11
0.0,13985,12
0.0,18946,13
0.0,17858,14
0.0,12986,15
0.0,1776,16
0.0,17694,17
0.0,16193,18
0.0,16281,19
0.0,1698,20
0.0,3698,21
0.0,2631,22
0.0,14308,23
0.0,7885,24
0.0,17675,25
0.0,15243,26
0.0,6069,27
0.0,11128,28
0.0,10979,29
0.0,6708,30
0.0,10510,31
0.0,15928,32
0.0,8669,33
0.0,10925,34
0.0,13239,35
0.0,1956,36
0.0,19412,37
0.0,14065,38
0.0,19848,39
0.0,9819,40
0.0,15843,41
0.0,16977,42
0.0,18743,43
0.0,8764,44
0.0,2538,45
0.0,10980,46
0.0,18294,47
0.0,1455,48
0.0,6835,49
0.0,3685,50
0.0,3789,51
0.0,16973,52
0.0,14842,53
0.0,7702,54
0.0,2564,55
0.0,7456,56
0.0,5930,57
0.0,11058,58
0.0,3090,59
0.0,1413,60
0.0,16227,61
0.0,15272,62
9.0,20057,63
9.0,6681,64
0.0,10589,65
9.0,4443,66
9.0,8753,67
9.0,6093,68
9.0,12212,69
9.0,8877,70
0.0,10369,71
0.0,19355,72
0.0,14711,73
3.5,249,74
3.5,18694,75
6.0,10576,76
6.0,449,77
6.0,12857,78
6.0,11824,79
11.0,2938,80
11.0,16266,81
0.0,10295,82
0.0,17207,83
0.0,13323,84
0.0,7544,85
0.0,16773,86
0.0,39,87
0.0,12765,88
0.0,6050,89
0.0,5014,90
0.0,13902,91
0.0,5800,92
0.0,14671,93
0.0,6725,94
0.0,3752,95
0.0,17730,96
0.0,7009,97
0.0,20005,98
0.0,3038,99
0.0,5267,100
0.0,10418,101
0.0,2851,102
0.0,15930,103
0.0,14871,104
11.0,18854,105
11.0,15359,106
11.0,11099,107
11.0,3395,108
0.0,9873,109
0.0,8597,110
0.0,11845,111
0.0,5775,112
0.0,18805,113
0.0,13156,114
0.0,2808,115
0.0,15358,116
0.0,7835,117
0.0,4827,118
0.0,17204,119
0.0,20239,120
0.0,7372,121
2.0,12461,122
