dns_authoritative_ans_ratio,dns_recursion_desired_ratio,dns_rejected_ratio,dns_truncation_ratio,dns_qtype_obsolete_ratio,return_code_key
0.0,0.0,0.0,0.0,0.0,1651
0.0,0.0,0.0,0.0,0.0,7124
0.0,0.0,0.0,0.0,0.0,17517
0.0,0.0,0.0,0.0,0.0,19895
0.0,0.0,0.0,0.0,0.0,1720
0.0,0.0,0.0,0.0,0.0,6701
0.0,0.0,0.0,0.0,0.0,20081
0.0,0.0,0.0,0.0,0.0,14115
0.0,0.0,0.0,0.0,0.0,4830
0.0,0.0,0.0,0.0,0.0,5589
0.0,0.0,0.0,0.0,0.0,867
0.0,0.0,0.0,0.0,0.0,12598
0.0,0.0,0.0,0.0,0.0,48
0.0,0.0,0.0,0.0,0.0,4387
0.0,0.0,0.0,0.0,0.0,18122
0.0,0.0,0.0,0.0,0.0,15073
0.0,0.0,0.0,0.0,0.0,10207
0.0,0.0,0.0,0.0,0.0,9033
0.0,0.0,0.0,0.0,0.0,11999
0.0,0.0,0.0,0.0,0.0,3652
0.0,0.0,0.0,0.0,0.0,4948
0.0,0.0,0.0,0.0,0.0,5483
0.0,0.0,0.0,0.0,0.0,18494
0.0,0.0,0.0,0.0,0.0,17640
0.0,0.0,0.0,0.0,0.0,3478
0.0,0.0,0.0,0.0,0.0,1077
0.0,0.0,0.0,0.0,0.0,12141
0.0,0.0,0.0,0.0,0.0,14286
0.0,0.0,0.0,0.0,0.0,13885
0.0,0.0,0.0,0.0,0.0,7333
0.0,0.0,0.0,0.0,0.0,20220
0.0,0.0,0.0,0.0,0.0,5852
0.0,0.0,0.0,0.0,0.0,8739
0.0,0.0,0.0,0.0,0.0,19265
0.0,0.0,0.0,0.0,0.0,18055
0.0,0.0,0.0,0.0,0.0,9449
0.0,0.0,0.0,0.0,0.0,6283
0.0,0.0,0.0,0.0,0.0,1524
0.0,0.0,0.0,0.0,0.0,20217
0.0,0.0,0.0,0.0,0.0,4467
0.0,0.0,0.0,0.0,0.0,18054
0.0,0.0,0.0,0.0,0.0,15587
0.0,0.0,0.0,0.0,0.0,16589
0.0,0.0,0.0,0.0,0.0,7633
0.0,0.0,0.0,0.0,0.0,8149
0.0,0.0,0.0,0.0,0.0,6634
0.0,0.0,0.0,0.0,0.0,1464
0.0,0.0,0.0,0.0,0.0,18420
0.0,0.0,0.0,0.0,0.0,18105
0.0,0.0,0.0,0.0,0.0,411
0.0,0.0,0.0,0.0,0.0,16433
0.0,0.0,0.0,0.0,0.0,14174
0.0,0.0,0.0,0.0,0.0,8595
0.0,0.0,0.0,0.0,0.0,13844
0.0,0.0,0.0,0.0,0.0,17598
0.0,0.0,0.0,0.0,0.0,7111
0.0,0.0,0.0,0.0,0.0,9184
0.0,0.0,0.0,0.0,0.0,16406
0.0,0.0,0.0,0.0,0.0,15715
0.0,0.0,0.0,0.0,0.0,13838
0.0,0.0,0.0,0.0,0.0,14902
0.0,0.0,0.0,0.0,0.0,8455
0.0,1.0,0.0,0.0,0.0,12337
0.0,1.0,0.0,0.0,0.0,12655
0.0,1.0,0.0,0.0,0.0,17854
0.0,1.0,0.0,0.0,0.0,11239
0.0,1.0,0.0,0.0,0.0,18057
0.0,0.0,0.0,0.0,0.0,7856
0.0,0.0,0.0,0.0,0.0,12874
0.0,0.0,0.0,0.0,0.0,4810
0.0,0.0,0.0,0.0,0.0,14498
0.0,0.0,0.0,0.0,0.0,8062
0.0,0.0,0.0,0.0,0.0,5573
0.0,0.0,0.0,0.0,0.0,10278
0.0,0.0,0.0,0.0,0.0,18601
0.0,0.0,0.0,0.0,0.0,105
0.0,0.0,0.0,0.0,0.0,9483
0.0,0.0,0.0,0.0,0.0,7753
0.0,0.0,0.0,0.0,0.0,11095
0.0,0.0,0.0,0.0,0.0,3427
0.0,0.0,0.0,0.0,0.0,19610
0.0,0.0,0.0,0.0,1.0,12206
0.0,0.0,0.0,0.0,1.0,11967
0.0,0.0,0.0,0.0,1.0,6315
0.0,0.0,0.0,0.0,1.0,13179
0.0,0.0,0.0,0.0,1.0,12863
0.0,0.0,0.0,0.0,0.0,8421
0.0,0.0,0.0,0.0,0.0,12783
0.0,0.0,0.0,0.0,0.0,13707
0.0,0.0,0.0,0.0,0.0,14804
0.0,0.0,0.0,0.0,0.0,8870
0.0,0.0,0.0,0.0,0.0,16086
0.0,0.0,0.0,0.0,0.0,9943
0.0,0.0,0.0,0.0,0.0,12898
0.0,0.0,0.0,0.0,0.0,2473
0.0,0.0,0.0,0.0,0.0,10930
0.0,0.0,0.0,0.0,0.0,13211
0.0,0.0,0.0,0.0,0.0,16068
0.0,0.0,0.0,0.0,0.0,3190
0.0,0.0,0.0,0.0,0.0,17683
0.0,0.0,0.0,0.0,0.0,13628
0.0,0.0,0.0,0.0,0.0,9934
0.0,0.0,0.0,0.0,0.0,17146
0.0,0.0,0.0,0.0,0.0,3400
0.0,0.0,0.0,0.0,0.0,17229
0.0,0.0,0.0,0.0,0.0,1153
0.0,0.0,0.0,0.0,0.0,19298
0.0,0.0,0.0,0.0,0.0,11443
0.0,0.0,0.0,0.0,0.0,5247
0.0,0.0,0.0,0.0,0.0,1072
0.0,0.0,0.0,0.0,0.0,18747
0.0,0.0,0.0,0.0,0.0,16175
0.0,0.0,0.0,0.0,0.0,4958
0.0,0.0,0.0,0.0,0.0,16366
0.0,0.0,0.0,0.0,0.0,10286
0.0,0.0,0.0,0.0,0.0,13939
0.0,0.0,0.0,0.0,0.0,1624
0.0,0.0,0.0,0.0,0.0,13362
0.0,0.0,0.0,0.0,0.0,19649
