dns_mean_TTL,dns_len_TTL,non_working_days_dns,non_working_hours_dns,dns_interlog_key
0.0,0.0,0.0,0.0,5816
0.0,0.0,0.0,0.0,4072
0.0,0.0,0.0,0.0,12746
0.0,0.0,0.0,0.0,13748
0.0,0.0,0.0,0.0,14789
0.0,0.0,0.0,0.0,9082
0.0,0.0,0.0,0.0,19458
0.0,0.0,0.0,0.0,18152
0.0,0.0,0.0,0.0,15847
0.0,0.0,0.0,0.0,958
0.0,0.0,0.0,0.0,12164
0.0,0.0,0.0,0.0,3822
0.0,0.0,0.0,0.0,8169
0.0,0.0,0.0,0.0,13558
0.0,0.0,0.0,0.0,5531
0.0,0.0,0.0,0.0,15234
0.0,0.0,0.0,0.0,19749
0.0,0.0,0.0,0.0,19716
0.0,0.0,0.0,0.0,10514
0.0,0.0,0.0,0.0,7350
0.0,0.0,0.0,0.0,11717
0.0,0.0,0.0,0.0,18014
0.0,0.0,0.0,0.0,9842
0.0,0.0,0.0,0.0,3884
0.0,0.0,0.0,0.0,15411
0.0,0.0,0.0,0.0,12011
0.0,0.0,0.0,0.0,12697
0.0,0.0,0.0,0.0,1604
0.0,0.0,0.0,0.0,1362
0.0,0.0,0.0,0.0,1885
0.0,0.0,0.0,0.0,4199
0.0,0.0,0.0,0.0,15284
0.0,0.0,0.0,0.0,2994
0.0,0.0,0.0,0.0,8236
0.0,0.0,0.0,0.0,15568
0.0,0.0,0.0,0.0,9508
0.0,0.0,0.0,0.0,7127
0.0,0.0,0.0,0.0,2215
0.0,0.0,0.0,0.0,8178
0.0,0.0,0.0,0.0,13954
0.0,0.0,0.0,0.0,1161
0.0,0.0,0.0,0.0,9545
0.0,0.0,0.0,0.0,14014
0.0,0.0,0.0,0.0,3711
0.0,0.0,0.0,0.0,11147
0.0,0.0,0.0,0.0,13738
0.0,0.0,0.0,0.0,11807
0.0,0.0,0.0,0.0,18684
0.0,0.0,0.0,0.0,2796
0.0,0.0,0.0,0.0,1001
0.0,0.0,0.0,0.0,18113
0.0,0.0,0.0,0.0,10765
0.0,0.0,0.0,0.0,3279
0.0,0.0,0.0,0.0,4175
0.0,0.0,0.0,0.0,11903
0.0,0.0,0.0,0.0,3249
0.0,0.0,0.0,0.0,14092
0.0,0.0,0.0,0.0,9457
0.0,0.0,0.0,0.0,9238
0.0,0.0,0.0,0.0,12587
0.0,0.0,0.0,0.0,4549
0.0,0.0,0.0,0.0,16750
1720.5,2.0,0.0,0.0,14897
1720.5,2.0,0.0,0.0,14963
1720.5,2.0,0.0,0.0,7245
1720.5,2.0,0.0,0.0,7996
1720.5,2.0,0.0,0.0,12535
0.0,0.0,0.0,0.0,7015
0.0,0.0,0.0,0.0,230
0.0,0.0,0.0,0.0,11742
0.0,0.0,0.0,0.0,3896
0.0,0.0,0.0,0.0,16305
0.0,0.0,0.0,0.0,4106
0.0,0.0,0.0,0.0,6785
0.0,0.0,0.0,0.0,14787
0.0,0.0,0.0,0.0,2959
0.0,0.0,0.0,0.0,1485
0.0,0.0,0.0,0.0,13066
0.0,0.0,0.0,0.0,18875
0.0,0.0,0.0,0.0,181
0.0,0.0,0.0,0.0,760
1186.3,1.8,0.0,0.0,17479
1186.3,1.8,0.0,0.0,10895
1186.3,1.8,0.0,0.0,5624
1186.3,1.8,0.0,0.0,18492
1186.3,1.8,0.0,0.0,17693
0.0,0.0,0.0,0.0,4853
0.0,0.0,0.0,0.0,10744
0.0,0.0,0.0,0.0,10473
0.0,0.0,0.0,0.0,5867
0.0,0.0,0.0,0.0,16477
0.0,0.0,0.0,0.0,6419
0.0,0.0,0.0,0.0,8760
0.0,0.0,0.0,0.0,7271
0.0,0.0,0.0,0.0,10598
0.0,0.0,0.0,0.0,8202
0.0,0.0,0.0,0.0,13162
0.0,0.0,0.0,0.0,10
0.0,0.0,0.0,0.0,18494
0.0,0.0,0.0,0.0,13608
0.0,0.0,0.0,0.0,17705
0.0,0.0,0.0,0.0,12887
0.0,0.0,0.0,0.0,14048
0.0,0.0,0.0,0.0,9814
0.0,0.0,0.0,0.0,18035
0.0,0.0,0.0,0.0,2878
0.0,0.0,0.0,0.0,42
0.0,0.0,0.0,0.0,12972
0.0,0.0,0.0,0.0,18025
0.0,0.0,0.0,0.0,11308
0.0,0.0,0.0,0.0,12031
0.0,0.0,0.0,0.0,11662
0.0,0.0,0.0,0.0,17904
0.0,0.0,0.0,0.0,6764
0.0,0.0,0.0,0.0,11610
0.0,0.0,0.0,0.0,8184
0.0,0.0,0.0,0.0,19553
0.0,0.0,0.0,0.0,20269
0.0,0.0,0.0,0.0,15081
